Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-05,202.0,224.7,202.0,204.93,6645675,EQ,48996,135.64,2525662
2026-03-06,206.0,207.83,185.0,190.14,1796633,EQ,33809,53.14,663683
2026-03-09,188.0,194.0,176.25,190.61,1253240,EQ,14613,85.76,319882
2026-03-10,192.2,197.0,188.71,192.94,385866,EQ,4826,79.96,117399
2026-03-11,190.0,213.14,190.0,208.95,1428730,EQ,16659,85.76,434728
2026-03-12,215.8,224.4,210.01,220.35,2378637,EQ,27627,86.1,387411
2026-03-13,220.68,223.75,210.56,218.54,796573,EQ,11756,67.76,198119
2026-03-16,225.0,230.0,211.87,218.68,952382,EQ,12782,74.51,170636
2026-03-17,219.67,220.38,214.0,218.32,319282,EQ,5835,54.72,86511
2026-03-18,220.5,247.28,220.5,241.75,3588889,EQ,45299,79.23,1097379
2026-03-19,235.0,250.21,231.11,240.67,1679127,EQ,24725,67.91,471576
2026-03-20,243.98,252.0,240.0,243.99,684033,EQ,11386,60.08,183635
2026-03-23,239.1,239.1,213.3,222.84,885923,EQ,14997,59.07,260972
2026-03-24,230.0,240.0,219.01,235.94,623574,EQ,9627,64.77,182383
2026-03-25,238.99,246.5,228.0,233.59,428993,EQ,10197,42.07,122627
2026-03-27,229.99,253.9,228.91,246.85,1413414,EQ,22737,62.16,424899
2026-03-30,241.9,256.5,236.61,245.23,866416,EQ,21626,40.06,284408
2026-04-01,256.19,277.86,252.15,272.77,1497885,EQ,25162,59.53,306122
2026-04-02,269.89,310.14,262.0,278.55,5547459,EQ,73160,75.83,606757
2026-04-06,284.08,300.0,276.01,290.81,1444509,EQ,17431,82.87,383517
2026-04-07,290.82,299.18,281.03,285.43,619045,EQ,12194,50.77,178186
2026-04-08,297.8,342.51,292.11,329.72,2988937,EQ,38227,78.19,635785
2026-04-09,335.0,349.85,320.7,340.25,3072966,EQ,63669,48.26,451770
2026-04-10,348.4,358.8,339.69,347.15,1111949,EQ,20211,55.02,218648
